 * Serving Flask app 'app'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://127.0.0.1:5000
Press CTRL+C to quit
127.0.0.1 - - [07/Aug/2026 00:19:43] "GET /healthz HTTP/1.1" 200 -
127.0.0.1 - - [07/Aug/2026 00:19:54] "GET /income HTTP/1.1" 200 -
127.0.0.1 - - [07/Aug/2026 00:19:54] "GET /static/H-Queex%20Logo%20Blue%20and%20Gold%20with%20Tagline%20V4.0.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Aug/2026 00:19:56] "GET /expenses HTTP/1.1" 200 -
127.0.0.1 - - [07/Aug/2026 00:19:56] "GET /static/H-Queex%20Logo%20Blue%20and%20Gold%20with%20Tagline%20V4.0.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Aug/2026 00:19:57] "GET /subscriptions HTTP/1.1" 200 -
127.0.0.1 - - [07/Aug/2026 00:19:57] "GET /static/H-Queex%20Logo%20Blue%20and%20Gold%20with%20Tagline%20V4.0.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Aug/2026 00:19:58] "GET /payroll HTTP/1.1" 200 -
127.0.0.1 - - [07/Aug/2026 00:19:58] "GET /static/H-Queex%20Logo%20Blue%20and%20Gold%20with%20Tagline%20V4.0.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Aug/2026 00:19:59] "GET /invoices HTTP/1.1" 200 -
127.0.0.1 - - [07/Aug/2026 00:19:59] "GET /static/H-Queex%20Logo%20Blue%20and%20Gold%20with%20Tagline%20V4.0.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Aug/2026 00:20:00] "GET /clients HTTP/1.1" 200 -
127.0.0.1 - - [07/Aug/2026 00:20:00] "GET /static/H-Queex%20Logo%20Blue%20and%20Gold%20with%20Tagline%20V4.0.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Aug/2026 00:20:01] "GET /suppliers HTTP/1.1" 200 -
127.0.0.1 - - [07/Aug/2026 00:20:01] "GET /static/H-Queex%20Logo%20Blue%20and%20Gold%20with%20Tagline%20V4.0.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Aug/2026 00:20:04] "GET /ledger HTTP/1.1" 200 -
127.0.0.1 - - [07/Aug/2026 00:20:04] "GET /static/H-Queex%20Logo%20Blue%20and%20Gold%20with%20Tagline%20V4.0.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Aug/2026 00:20:08] "GET /archive HTTP/1.1" 200 -
127.0.0.1 - - [07/Aug/2026 00:20:08] "GET /static/H-Queex%20Logo%20Blue%20and%20Gold%20with%20Tagline%20V4.0.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Aug/2026 00:20:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [07/Aug/2026 00:20:10] "GET /static/H-Queex%20Logo%20Blue%20and%20Gold%20with%20Tagline%20V4.0.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Aug/2026 00:20:41] "GET /income HTTP/1.1" 200 -
127.0.0.1 - - [07/Aug/2026 00:20:41] "GET /static/H-Queex%20Logo%20Blue%20and%20Gold%20with%20Tagline%20V4.0.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Aug/2026 00:20:52] "GET /income HTTP/1.1" 200 -
127.0.0.1 - - [07/Aug/2026 00:20:52] "GET /static/H-Queex%20Logo%20Blue%20and%20Gold%20with%20Tagline%20V4.0.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Aug/2026 00:20:52] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [07/Aug/2026 00:21:19] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [07/Aug/2026 00:21:19] "GET /static/H-Queex%20Logo%20Blue%20and%20Gold%20with%20Tagline%20V4.0.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Aug/2026 00:22:18] "GET /income HTTP/1.1" 200 -
127.0.0.1 - - [07/Aug/2026 00:22:18] "GET /static/H-Queex%20Logo%20Blue%20and%20Gold%20with%20Tagline%20V4.0.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Aug/2026 00:22:27] "GET /expenses HTTP/1.1" 200 -
127.0.0.1 - - [07/Aug/2026 00:22:27] "GET /static/H-Queex%20Logo%20Blue%20and%20Gold%20with%20Tagline%20V4.0.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Aug/2026 00:23:16] "GET /expenses?edit_row=9 HTTP/1.1" 200 -
127.0.0.1 - - [07/Aug/2026 00:23:16] "GET /static/H-Queex%20Logo%20Blue%20and%20Gold%20with%20Tagline%20V4.0.png HTTP/1.1" 200 -
